    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\views.py", line 16, in recipe_page
    return render(request, 'recipesiteapp/recipe.html', {'recipe': recipe})
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\shortcuts.py", line 25, in render
    content = loader.render_to_string(template_name, context, request, using=using)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\loader.py", line 62, in render_to_string
    return template.render(context, request)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\backends\django.py", line 61, in render
    return self.template.render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 171, in render
    return self._render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 163, in _render
    return self.nodelist.render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1000, in render
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1000, in <listcomp>
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 961, in render_annotated
    return self.render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\loader_tags.py", line 159, in render
    return compiled_parent._render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 163, in _render
    return self.nodelist.render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1000, in render
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1000, in <listcomp>
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 961, in render_annotated
    return self.render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\loader_tags.py", line 65, in render
    result = block.nodelist.render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1000, in render
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1000, in <listcomp>
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 961, in render_annotated
    return self.render(context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1065, in render
    return render_value_in_context(output, context)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\template\base.py", line 1042, in render_value_in_context
    value = str(value)
TypeError: __str__ returned non-string (type set)
ERROR 2024-02-24 14:32:25,394 basehttp 19384 13628 "GET /recipe/5 HTTP/1.1" 500 158004
INFO 2024-02-24 14:32:46,311 autoreload 19384 17356 I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\models.py changed, reloading.
INFO 2024-02-24 14:32:47,008 autoreload 2612 17672 Watching for file changes with StatReloader
INFO 2024-02-24 14:32:49,331 basehttp 2612 13984 "GET /recipe/5 HTTP/1.1" 200 2433
INFO 2024-02-24 14:33:43,849 basehttp 2612 13984 "GET /recipe/5 HTTP/1.1" 200 3185
INFO 2024-02-24 14:47:38,523 autoreload 2612 17672 I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\views.py changed, reloading.
INFO 2024-02-24 14:47:40,332 autoreload 4012 14736 Watching for file changes with StatReloader
INFO 2024-02-24 14:47:48,934 basehttp 4012 18236 "GET /new_user HTTP/1.1" 301 0
INFO 2024-02-24 14:47:48,974 basehttp 4012 15248 "GET /new_user/ HTTP/1.1" 200 1644
INFO 2024-02-24 14:48:57,430 basehttp 4012 15248 "POST /new_user/ HTTP/1.1" 200 1829
INFO 2024-02-24 14:49:51,592 autoreload 17024 18448 Watching for file changes with StatReloader
ERROR 2024-02-24 14:49:56,674 log 17024 3808 Internal Server Error: /new_user/
Traceback (most recent call last):
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\views.py", line 25, in new_user
    return index(request, user.pk)
TypeError: index() takes 1 positional argument but 2 were given
ERROR 2024-02-24 14:49:56,675 basehttp 17024 3808 "POST /new_user/ HTTP/1.1" 500 75724
INFO 2024-02-24 15:07:57,771 autoreload 17024 18448 I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\forms.py changed, reloading.
INFO 2024-02-24 15:07:59,069 autoreload 8624 19196 Watching for file changes with StatReloader
INFO 2024-02-24 15:27:59,441 autoreload 8624 19196 I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\views.py changed, reloading.
INFO 2024-02-24 15:28:00,173 autoreload 18932 14468 Watching for file changes with StatReloader
ERROR 2024-02-24 15:28:05,749 log 18932 4852 Internal Server Error: /new_user/
Traceback (most recent call last):
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\views.py", line 39, in new_user
    form = forms.NewUser()
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\forms\models.py", line 360, in __init__
    raise ValueError("ModelForm has no model class specified.")
ValueError: ModelForm has no model class specified.
ERROR 2024-02-24 15:28:05,752 basehttp 18932 4852 "GET /new_user/ HTTP/1.1" 500 79635
ERROR 2024-02-24 15:29:32,453 log 18932 4852 Internal Server Error: /new_user/
Traceback (most recent call last):
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\views.py", line 39, in new_user
    form = forms.NewUser()
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\forms\models.py", line 360, in __init__
    raise ValueError("ModelForm has no model class specified.")
ValueError: ModelForm has no model class specified.
ERROR 2024-02-24 15:29:32,456 basehttp 18932 4852 "GET /new_user/ HTTP/1.1" 500 79772
INFO 2024-02-24 15:30:36,642 autoreload 17324 276 Watching for file changes with StatReloader
ERROR 2024-02-24 15:30:41,076 log 17324 19304 Internal Server Error: /new_user/
Traceback (most recent call last):
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
